Study_Hours,Attendance,Assignments_Completed,Previous_Exam_Score,Pass
4.4,52.6,5,90.1,0
9.6,76.6,2,70.2,0
7.6,77.0,10,37.0,1
6.4,81.9,6,89.8,1
2.4,86.3,5,49.9,0
2.4,98.8,6,69.7,1
1.5,75.8,1,44.9,0
8.8,66.1,5,37.0,0
6.4,89.8,9,53.7,1
7.4,63.5,10,81.8,1
1.2,71.9,2,51.7,0
9.7,53.9,1,48.2,0
8.5,51.3,10,47.8,1
2.9,98.1,9,65.9,1
2.6,91.8,10,93.5,1
2.7,84.8,9,62.5,0
3.7,70.4,9,68.4,0
5.7,58.7,6,86.6,1
4.9,57.8,8,67.1,1
3.6,62.5,1,46.1,0
6.5,77.5,10,53.0,1
2.3,85.7,4,53.6,0
3.6,83.0,1,58.8,0
4.3,64.0,8,60.6,1
5.1,97.7,1,83.0,1
8.1,86.9,3,56.0,0
2.8,77.7,4,63.1,0
5.6,80.6,8,72.5,1
6.3,71.0,6,57.7,0
1.4,62.4,10,85.2,0
6.5,67.8,7,70.2,1
2.5,87.9,8,52.6,0
1.6,50.7,2,77.8,0
9.5,55.8,10,66.7,1
9.7,52.3,8,67.1,1
8.3,52.0,3,63.9,0
3.7,92.8,7,64.8,0
1.9,85.2,3,80.9,0
7.2,73.7,7,41.2,1
5.0,54.9,2,55.1,0
2.1,74.6,10,39.5,0
5.5,73.7,6,80.2,1
1.3,58.7,3,51.3,0
9.2,71.7,3,88.8,1
3.3,69.9,9,66.6,1
7.0,80.8,7,83.0,1
3.8,81.8,5,93.7,0
5.7,52.3,10,85.4,1
5.9,68.7,7,87.0,1
2.7,81.3,9,59.5,1
9.7,75.2,1,68.1,0
8.0,92.8,7,50.2,1
9.5,82.9,6,46.8,1
9.1,58.1,10,65.3,1
6.4,53.5,9,70.7,1
9.3,82.1,1,55.4,0
1.8,51.3,4,69.2,0
2.8,79.3,9,88.2,1
1.4,97.0,4,68.4,0
3.9,78.8,10,78.2,1
4.5,69.4,3,83.3,0
3.4,82.2,9,94.3,1
8.5,72.9,2,71.2,0
4.2,77.3,4,83.4,1
3.5,97.1,6,92.8,1
5.9,69.3,2,91.7,0
2.3,98.1,8,43.5,1
8.2,95.3,8,59.4,1
1.7,59.8,1,54.4,0
9.9,53.5,3,40.2,0
8.0,55.0,10,73.0,1
2.8,50.9,9,79.2,1
1.0,54.7,5,85.9,1
8.3,84.2,6,42.4,0
7.4,53.6,4,87.6,0
7.6,65.9,10,73.6,1
7.9,92.2,2,77.2,1
1.7,51.2,8,89.6,0
4.2,90.7,6,72.5,1
2.0,64.1,5,55.2,0
8.8,55.9,9,84.5,1
6.6,84.8,1,56.8,1
4.0,81.4,5,37.1,0
1.6,93.9,6,84.8,0
3.8,86.8,5,55.7,0
3.9,90.2,6,81.4,1
7.6,64.1,6,56.8,0
6.7,58.9,7,86.7,1
9.0,87.5,4,48.2,0
5.2,90.3,8,93.5,1
2.1,99.5,7,81.8,1
7.4,70.6,9,41.9,0
7.8,68.6,7,68.9,1
6.1,88.8,3,94.1,1
7.9,67.0,3,63.3,1
5.4,96.5,8,45.9,1
5.7,92.9,5,64.1,1
4.8,71.4,4,65.7,0
1.2,87.5,8,79.5,0
2.0,87.7,6,76.9,0
1.3,55.2,2,59.2,0
6.7,95.1,4,48.1,0
3.8,75.3,4,73.7,0
5.6,91.3,6,60.3,0
9.2,66.0,6,42.9,0
3.2,94.8,1,89.0,0
4.7,69.5,8,76.5,1
7.8,50.5,6,76.0,0
3.1,95.3,3,84.4,0
1.7,54.6,9,66.8,0
3.6,66.0,2,83.9,0
2.5,97.5,8,64.9,0
9.4,97.5,10,39.0,1
8.3,78.7,3,59.3,1
6.7,81.6,5,64.8,1
8.8,72.4,6,78.2,1
8.2,64.7,10,41.4,0
2.7,66.4,6,43.4,0
9.0,83.6,4,50.8,1
5.9,87.6,3,51.0,0
8.3,89.6,4,78.9,1
9.1,89.5,1,50.0,1
3.9,54.6,4,73.0,0
2.0,74.7,1,64.7,0
3.1,52.9,1,69.4,0
4.8,77.5,10,85.3,1
8.4,72.1,6,59.3,1
8.7,94.4,5,81.3,1
1.1,67.5,4,60.3,0
5.6,55.9,3,56.2,0
4.8,57.1,1,92.5,0
3.0,88.1,6,46.1,1
2.1,80.9,2,40.4,0
4.0,55.1,8,81.3,1
9.5,54.2,10,39.1,0
3.9,85.0,5,85.2,1
5.7,53.6,7,61.2,1
7.3,91.1,10,89.9,1
4.3,85.3,2,78.3,0
9.7,54.1,8,71.6,1
9.7,54.2,2,92.0,1
3.3,99.3,4,58.8,0
5.5,68.7,1,92.2,0
3.7,68.5,5,43.1,0
3.6,90.6,9,64.0,0
1.3,97.4,1,51.2,0
6.5,99.3,9,67.4,1
5.5,87.7,8,44.7,0
1.5,68.8,6,85.5,0
3.5,54.2,7,85.8,0
9.2,88.9,3,92.3,1
3.2,77.9,1,44.3,0
2.3,71.2,5,72.4,0
